F,X,X,X,X,X,X,X,X,X,X,X,
T,F,X,X,X,X,X,X,X,X,X,X,
T,T,F,X,X,X,X,X,X,X,X,X,
T,T,T,F,F,F,X,F,X,X,X,X,
T,T,T,F,F,F,X,T,F,F,X,X,
T,T,T,F,F,F,X,T,F,T,F,X,
T,T,T,F,F,F,X,T,F,T,T,F,
T,T,T,F,F,F,X,T,F,T,T,T,
T,T,T,F,F,F,X,T,T,X,X,X,
T,T,T,F,F,T,F,F,X,X,X,X,
T,T,T,F,F,T,F,T,F,F,X,X,
T,T,T,F,F,T,F,T,F,T,F,X,
T,T,T,F,F,T,F,T,F,T,T,F,
T,T,T,F,F,T,F,T,F,T,T,T,
T,T,T,F,F,T,F,T,T,X,X,X,
T,T,T,F,F,T,T,X,X,F,X,X,
T,T,T,F,F,T,T,X,X,T,F,X,
T,T,T,F,F,T,T,X,X,T,T,F,
T,T,T,F,F,T,T,X,X,T,T,T,
T,T,T,F,T,X,X,X,X,F,X,X,
T,T,T,F,T,X,X,X,X,T,F,X,
T,T,T,F,T,X,X,X,X,T,T,F,
T,T,T,F,T,X,X,X,X,T,T,T,
T,T,T,T,X,F,X,F,X,X,X,X,
T,T,T,T,X,F,X,T,F,F,X,X,
T,T,T,T,X,F,X,T,F,T,F,X,
T,T,T,T,X,F,X,T,F,T,T,F,
T,T,T,T,X,F,X,T,F,T,T,T,
T,T,T,T,X,F,X,T,T,X,X,X,
T,T,T,T,X,T,F,F,X,X,X,X,
T,T,T,T,X,T,F,T,F,F,X,X,
T,T,T,T,X,T,F,T,F,T,F,X,
T,T,T,T,X,T,F,T,F,T,T,F,
T,T,T,T,X,T,F,T,F,T,T,T,
T,T,T,T,X,T,F,T,T,X,X,X,
T,T,T,T,X,T,T,X,X,F,X,X,
T,T,T,T,X,T,T,X,X,T,F,X,
T,T,T,T,X,T,T,X,X,T,T,F,
T,T,T,T,X,T,T,X,X,T,T,T,
