F,X,X,X,X,X,X,X,X,X,X,
T,F,X,X,X,X,X,X,X,X,X,
T,T,F,X,F,X,F,X,X,X,X,
T,T,F,X,F,X,T,F,X,X,X,
T,T,F,X,F,X,T,T,F,X,X,
T,T,F,X,F,X,T,T,T,F,X,
T,T,F,X,F,X,T,T,T,T,F,
T,T,F,X,F,X,T,T,T,T,T,
T,T,F,X,T,F,X,X,F,X,X,
T,T,F,X,T,F,X,X,T,F,X,
T,T,F,X,T,F,X,X,T,T,F,
T,T,F,X,T,F,X,X,T,T,T,
T,T,F,X,T,T,F,X,X,X,X,
T,T,F,X,T,T,T,F,X,X,X,
T,T,F,X,T,T,T,T,F,X,X,
T,T,F,X,T,T,T,T,T,F,X,
T,T,F,X,T,T,T,T,T,T,F,
T,T,F,X,T,T,T,T,T,T,T,
T,T,T,F,F,X,F,X,X,X,X,
T,T,T,F,F,X,T,F,X,X,X,
T,T,T,F,F,X,T,T,F,X,X,
T,T,T,F,F,X,T,T,T,F,X,
T,T,T,F,F,X,T,T,T,T,F,
T,T,T,F,F,X,T,T,T,T,T,
T,T,T,F,T,F,X,X,F,X,X,
T,T,T,F,T,F,X,X,T,F,X,
T,T,T,F,T,F,X,X,T,T,F,
T,T,T,F,T,F,X,X,T,T,T,
T,T,T,F,T,T,F,X,X,X,X,
T,T,T,F,T,T,T,F,X,X,X,
T,T,T,F,T,T,T,T,F,X,X,
T,T,T,F,T,T,T,T,T,F,X,
T,T,T,F,T,T,T,T,T,T,F,
T,T,T,F,T,T,T,T,T,T,T,
T,T,T,T,X,X,X,X,F,X,X,
T,T,T,T,X,X,X,X,T,F,X,
T,T,T,T,X,X,X,X,T,T,F,
T,T,T,T,X,X,X,X,T,T,T,
