F,X,X,X,X,X,X,X,X,X,X,X,X,X,
T,F,X,X,X,X,X,F,X,X,X,X,X,X,
T,F,X,X,X,X,X,T,F,X,X,X,X,X,
T,F,X,X,X,X,X,T,T,F,X,X,X,X,
T,F,X,X,X,X,X,T,T,T,F,X,X,X,
T,F,X,X,X,X,X,T,T,T,T,F,X,X,
T,F,X,X,X,X,X,T,T,T,T,T,F,F,
T,F,X,X,X,X,X,T,T,T,T,T,F,T,
T,F,X,X,X,X,X,T,T,T,T,T,T,X,
T,T,F,F,F,F,X,F,X,X,X,X,X,X,
T,T,F,F,F,F,X,T,F,X,X,X,X,X,
T,T,F,F,F,F,X,T,T,F,X,X,X,X,
T,T,F,F,F,F,X,T,T,T,F,X,X,X,
T,T,F,F,F,F,X,T,T,T,T,F,X,X,
T,T,F,F,F,F,X,T,T,T,T,T,F,F,
T,T,F,F,F,F,X,T,T,T,T,T,F,T,
T,T,F,F,F,F,X,T,T,T,T,T,T,X,
T,T,F,F,F,T,F,F,X,X,X,X,X,X,
T,T,F,F,F,T,F,T,F,X,X,X,X,X,
T,T,F,F,F,T,F,T,T,F,X,X,X,X,
T,T,F,F,F,T,F,T,T,T,F,X,X,X,
T,T,F,F,F,T,F,T,T,T,T,F,X,X,
T,T,F,F,F,T,F,T,T,T,T,T,F,F,
T,T,F,F,F,T,F,T,T,T,T,T,F,T,
T,T,F,F,F,T,F,T,T,T,T,T,T,X,
T,T,F,F,F,T,T,X,X,X,X,X,X,F,
T,T,F,F,F,T,T,X,X,X,X,X,X,T,
T,T,F,F,T,X,X,F,X,X,X,X,X,X,
T,T,F,F,T,X,X,T,F,X,X,X,X,X,
T,T,F,F,T,X,X,T,T,F,X,X,X,X,
T,T,F,F,T,X,X,T,T,T,F,X,X,X,
T,T,F,F,T,X,X,T,T,T,T,F,X,X,
T,T,F,F,T,X,X,T,T,T,T,T,F,F,
T,T,F,F,T,X,X,T,T,T,T,T,F,T,
T,T,F,F,T,X,X,T,T,T,T,T,T,X,
T,T,F,T,X,X,X,F,X,X,X,X,X,X,
T,T,F,T,X,X,X,T,F,X,X,X,X,X,
T,T,F,T,X,X,X,T,T,F,X,X,X,X,
T,T,F,T,X,X,X,T,T,T,F,X,X,X,
T,T,F,T,X,X,X,T,T,T,T,F,X,X,
T,T,F,T,X,X,X,T,T,T,T,T,F,F,
T,T,F,T,X,X,X,T,T,T,T,T,F,T,
T,T,F,T,X,X,X,T,T,T,T,T,T,X,
T,T,T,X,X,X,X,F,X,X,X,X,X,X,
T,T,T,X,X,X,X,T,F,X,X,X,X,X,
T,T,T,X,X,X,X,T,T,F,X,X,X,X,
T,T,T,X,X,X,X,T,T,T,F,X,X,X,
T,T,T,X,X,X,X,T,T,T,T,F,X,X,
T,T,T,X,X,X,X,T,T,T,T,T,F,F,
T,T,T,X,X,X,X,T,T,T,T,T,F,T,
T,T,T,X,X,X,X,T,T,T,T,T,T,X,
