F,X,X,X,X,X,X,X,X,X,X,X,
T,F,X,X,X,X,X,X,X,X,X,X,
T,T,F,X,X,X,X,X,X,X,X,X,
T,T,T,F,X,X,X,X,X,X,X,X,
T,T,T,T,F,X,X,X,X,X,X,X,
T,T,T,T,T,F,X,X,X,X,X,X,
T,T,T,T,T,T,F,X,X,X,X,X,
T,T,T,T,T,T,T,F,X,X,X,X,
T,T,T,T,T,T,T,T,F,X,X,X,
T,T,T,T,T,T,T,T,T,F,X,X,
T,T,T,T,T,T,T,T,T,T,F,X,
T,T,T,T,T,T,T,T,T,T,T,F,
T,T,T,T,T,T,T,T,T,T,T,T,
